lemma,derivation,lemma_raw,lemma_betacode,lemma_betacode_raw,derivation_raw,derivation_betacode,prefix,prefix_betacode,query_lemmas
σωματηγός,"σῶμα, ἄγω",σωματηγός,swmathgo/s,swmathgos,"['σῶμα', 'ἄγω']","['swma', 'agw']",[],[],σωματηγος / swmathgos
Ἐρκυνίς,,Ἐρκυνίς,*)Erkuni/s,Erkunis,[],[],[],[],Ερκυνις / Erkunis
ἀλλοτριοφαγέω,"ἀλλότριος, φαγεῖν",ἀλλοτριοφαγέω,a)llotriofage/w,allotriofagew,"['ἀλλότριος', 'φαγεῖν']","['allotrios', 'fagein']",[],[],αλλοτριοφαγεω / allotriofagew
ὑπερκολακεύω,"ὑπέρ, κολακεύω",ὑπερκολακεύω,u(perkolakeu/w,uperkolakeuw,"['ὑπέρ', 'κολακεύω']","['uper', 'kolakeuw']",['ὑπέρ'],['uper'],υπερκολακευω / uperkolakeuw
μύωψ 2,"μύω, ὤψ",μύωψ,mu/wy,muwy,"['μύω', 'ὤψ']","['muw', 'wy']",[],[],μυωψ / muwy
μογίομες,,μογίομες,mogi/omes,mogiomes,[],[],[],[],μογιομες / mogiomes
διακριδά,,διακριδά,diakrida/,diakrida,[],[],[],[],διακριδα / diakrida
διορκίζω,"δίς, ὁρκίζω",διορκίζω,diorki/zw,diorkizw,"['δίς', 'ὁρκίζω']","['dis', 'orkizw']",['δίς'],['dis'],διορκιζω / diorkizw
ἐκδακρύω,"ἐκ, δακρύω",ἐκδακρύω,e)kdakru/w,ekdakruw,"['ἐκ', 'δακρύω']","['ek', 'dakruw']",['ἐκ'],['ek'],εκδακρυω / ekdakruw
ψυχρολογέω,"ψυχρός, λέγω",ψυχρολογέω,yuxrologe/w,yuxrologew,"['ψυχρός', 'λέγω']","['yuxros', 'legw']",[],[],ψυχρολογεω / yuxrologew
κυρβασία,cf. Hitt. kurpiši-?,κυρβασία,kurbasi/a,kurbasia,[],[],[],[],κυρβασια / kurbasia
ἀχαλέπως,χαλεπῶς,ἀχαλέπως,a)xale/pws,axalepws,['χαλεπῶς'],['xalepws'],[],[],αχαλεπως / axalepws
κρύπτασκε,,κρύπτασκε,kru/ptaske,kruptaske,[],[],[],[],κρυπτασκε / kruptaske
κασωρεύω,κασωρίς,κασωρεύω,kaswreu/w,kaswreuw,['κασωρίς'],['kaswris'],[],[],κασωρευω / kaswreuw
ῥαψῳδία,"ῥάπτω, ἀοιδή",ῥαψῳδία,r(ayw|di/a,raywdia,"['ῥάπτω', 'ἀοιδή']","['raptw', 'aoidh']",[],[],ραψωδια / raywdia
λιθογραφημένη,"λίθος, γράφω",λιθογραφημένη,liqografhme/nh,liqografhmenh,"['λίθος', 'γράφω']","['liqos', 'grafw']",[],[],λιθογραφημενη / liqografhmenh
ἀλλαντοειδής,"ἀλλᾶς, εἶδος",ἀλλαντοειδής,a)llantoeidh/s,allantoeidhs,"['ἀλλᾶς', 'εἶδος']","['allas', 'eidos']",[],[],αλλαντοειδης / allantoeidhs
ἀγαθότυπος,"ἀγαθός, τύπος",ἀγαθότυπος,a)gaqo/tupos,agaqotupos,"['ἀγαθός', 'τύπος']","['agaqos', 'tupos']",[],[],αγαθοτυπος / agaqotupos
ἐκνοστέω,"ἐκ, νοστέω",ἐκνοστέω,e)knoste/w,eknostew,"['ἐκ', 'νοστέω']","['ek', 'nostew']",['ἐκ'],['ek'],εκνοστεω / eknostew
ἐλλαλέω,"ἐν, λαλέω",ἐλλαλέω,e)llale/w,ellalew,"['ἐν', 'λαλέω']","['en', 'lalew']",['ἐν'],['en'],ελλαλεω / ellalew
πληκτήρ,,πληκτήρ,plhkth/r,plhkthr,[],[],[],[],πληκτηρ / plhkthr
Φαιστίς,,Φαιστίς,*Faisti/s,Faistis,[],[],[],[],Φαιστις / Faistis
ἡδύοσμος,"ἡδύς, ὀσμή",ἡδύοσμος,h(du/osmos,hduosmos,"['ἡδύς', 'ὀσμή']","['hdus', 'osmh']",[],[],ηδυοσμος / hduosmos
δαιτύς,δαίομαι,δαιτύς,daitu/s,daitus,['δαίομαι'],['daiomai'],[],[],δαιτυς / daitus
συνωρόφιος,"σύν, ὄροφος",συνωρόφιος,sunwro/fios,sunwrofios,"['σύν', 'ὄροφος']","['sun', 'orofos']",['σύν'],['sun'],συνωροφιος / sunwrofios
καταπλυντηρίζω,"κατά, πλύνω",καταπλυντηρίζω,kataplunthri/zw,kataplunthrizw,"['κατά', 'πλύνω']","['kata', 'plunw']",['κατά'],['kata'],καταπλυντηριζω / kataplunthrizw
Σάρρα,,Σάρρα,*Sa/rra,Sarra,[],[],[],[],Σαρρα / Sarra
ἐξαναδύομαι,"ἐξ, ἀνά, δύομαι",ἐξαναδύομαι,e)canadu/omai,ecanaduomai,"['ἐξ', 'ἀνά', 'δύομαι']","['ec', 'ana', 'duomai']","['ἐξ', 'ἀνά']","['ec', 'ana']",εξαναδυομαι / ecanaduomai
διεξέρπω,"διά, ἐξ, ἕρπω",διεξέρπω,diece/rpw,diecerpw,"['διά', 'ἐξ', 'ἕρπω']","['dia', 'ec', 'erpw']","['διά', 'ἐξ']","['dia', 'ec']",διεξερπω / diecerpw
δένδρος 2,,δένδρος,de/ndros,dendros,[],[],[],[],δενδρος / dendros
συμπεριακολουθέω,"σύν, περί, ἀκολουθέω",συμπεριακολουθέω,sumperiakolouqe/w,sumperiakolouqew,"['σύν', 'περί', 'ἀκολουθέω']","['sun', 'peri', 'akolouqew']","['σύν', 'περί']","['sun', 'peri']",συμπεριακολουθεω / sumperiakolouqew
μενεαίνω,μένος,μενεαίνω,meneai/nw,meneainw,['μένος'],['menos'],[],[],μενεαινω / meneainw
