lemma,derivation,meaning,lsj_ulr,pos
πληκτήρ,[],,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=plhkth/r,noun
κλονιστήρ,[],,,
διιθυντήρ,[],,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=diiqunth/r,noun
μελέτωρ,['μέλω'],"- one who cares for, an avenger",https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=mele/twr,noun
ὡροκράτωρ,"['ὥρα', 'κρατέω']",- the lord of the hour,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=w(rokra/twr,noun
κτίστωρ,['κτίζω'],,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=kti/stwr,noun
σαωτήρ,[],,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=sawth/r,
ἀλητήρ,['ἀλήτης'],- dance,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=a)lhth/r,noun
ἐξαυστήρ,"['ἐξ', 'αὔω']",- flesh-hook for taking meat out of a pot,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=e)causth/r,noun
φοιβήτωρ,[],,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=foibh/twr,noun
πολυμήτωρ,"['πολύς', 'μήτηρ']",- mother of many,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=polumh/twr,noun
παιδολετήρ,"['παῖς', 'ὄλλυμι']",- child-slaying; murderess of her children,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=paidoleth/r,noun
ἁρμελατήρ,"['ἅρμα', 'ἐλαύνω']",- charioteer,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=a(rmelath/r,noun
καταπειρατήρ,[],,,
ὀρύκτωρ,[],,,
ἐκσκέπτωρ,[],,,
δικαστήρ,['δικάζω'],- Foed.Delph. Pell,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=dikasth/r,noun
αὐλητήρ,['αὐλέω'],,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=au)lhth/r,noun
κηνσίτωρ,['κῆνσος'],- censitor,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=khnsi/twr,
βατήρ,['βαίνω'],"- that on which one treads, threshold; base",https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=bath/r,noun
ὑπερίστωρ,"['ὑπέρ', 'ἴστωρ']",- knowing but too well,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=u(peri/stwr,noun
ῥεκτήρ,['ῥέζω'],"- worker, doer",https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=r(ekth/r,noun
θρηνήτωρ,['θρηνέω'],,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=qrhnh/twr,noun
εὐνητήρ,['εὐνάω'],"- a bedfellow, husband; bed; cease",https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=eu)nhth/r,noun
ἀμυντήρ,['ἀμύνω'],- defender,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=a)munth/r,noun
Πίκτωρ,[],,,noun
ἠλέκτωρ,[],- the beaming sun; fire,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=h)le/ktwr,noun
φυσακτήρ,['φυσάω'],,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=fusakth/r,
παρευναστήρ,['παρευνάζω'],- one who sleeps beside; chamberlain,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=pareunasth/r,noun
ἀγωνοθετήρ,"['ἀγών', 'τίθημι']",,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=a)gwnoqeth/r,noun
ἁρμόστωρ,['ἁρμόζω'],- commander,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=a(rmo/stwr,noun
κωπητήρ,['κώπη'],,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=kwphth/r,noun
νήκτωρ,[],,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=nh/ktwr,noun
θηήτωρ,['θεάομαι'],,,
ἀφρήτωρ,['φρήτρη'],- without brotherhood; bound by no socialtie,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=a)frh/twr,noun
οἰστρογενήτωρ,"['οἶστρος', 'γενήτωρ']",,,
πρηστηροκράτωρ,"['πρηστήρ', 'κρατέω']",,,
φιλεστιάτωρ,"['φίλος', 'ἑστιάτωρ']",- lover of feasting,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=filestia/twr,noun
μυκήτωρ,[],,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=mukh/twr,noun
ῥήτωρ,[],- public speaker,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=r(h/twr,noun
σαώτηρ,[],,,
Ἀνάκτωρ,[],,,noun
διαδεκτήρ,"['διά', 'δέχομαι']",- transmitter,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=diadekth/r,noun
σφίγκτωρ,['σφίγγω'],,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=sfi/gktwr,noun
ἑτερομήτωρ,"['ἕτερος', 'μήτηρ']",,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=e(teromh/twr,noun
διοικήτωρ,[],,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=dioikh/twr,
φράτωρ,[],,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=fra/twr,noun
ἀγγελτήρ,['ἀγγέλλω'],,,
κέντωρ,['κέντρον'],"- goader, driver",https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=ke/ntwr,noun
Δαίτωρ,[],,,noun
ἀγρυπνητήρ,['ἀγρυπνέω'],- watcher,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=a)grupnhth/r,noun
ψυχροκαυτήρ,"['ψυχρός', 'καυτήρ']",- a caustic,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=yuxrokauth/r,noun
ἀλλοφρήτωρ,"['ἄλλος', 'φρήτωρ']",- one of another,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=a)llofrh/twr,noun
θατήρ,[],- throttler,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=qath/r,noun
καμπτήρ,['κάμπτω'],"- bend, angle
- turning-point in the",https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=kampth/r,noun
ἀμπυκτήρ,"['ἀνά', 'ἀμφί']",- horse's bridle,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=a)mpukth/r,noun
ἀγυρτήρ,['ἀγυρτεύω'],,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=a)gurth/r,noun
συμμήστωρ,"['σύν', 'μήστωρ']",- fellow-counsellor,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=summh/stwr,noun
ἀγροτήρ,['ἀγρός'],- rustic,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=a)groth/r,noun
δηλητήρ,['δηλέομαι'],,,noun
χρηστήρ,[],,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=xrhsth/r,noun
πρηστήρ,['πίμπρημι'],"- hurricane; waterspout attended with lightning
- pair of bellows
- veins of the neck when swollen by anger
- serpent",https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=prhsth/r,noun
ἀμφιάστωρ,['ἀμφιάζω'],,,
ὑποβατήρ,"['ὑπό', 'βαίνω']",- pedestal; support,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=u(pobath/r,noun
ὑβριστήρ,['ὑβρίζω'],,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=u(bristh/r,noun
ναυκράτωρ,['ναυκρατέω'],- master of a ship,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=naukra/twr,noun
θηητήρ,['θεάομαι'],"- one who gazes at, an admirer",https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=qhhth/r,noun
ἀδιούτωρ,[],,,
παύστωρ,['παύω'],,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=pau/stwr,noun
χαλκεομήστωρ,"['χάλκεος', 'μήδομαι']",- skilled in arms,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=xalkeomh/stwr,noun
κονρήκτωρ,[],,,
προκουράτωρ,[],,,
ὀργανοπήκτωρ,"['ὄργανον', 'πήγνυμι']",,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=o)rganoph/ktwr,noun
κουαίστωρ,[],,,
συλλήπτωρ,"['σύν', 'λαμβάνω']","- accomplice, assistant",https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=sullh/ptwr,noun
σωματοφρουρητήρ,"['σῶμα', 'φρουρητήρ']",,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=swmatofrourhth/r,noun
πυρσευτήρ,['πυρσεύω'],- one who heats a bath,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=purseuth/r,noun
χερμαστήρ,['χερμάς'],- slinger,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=xermasth/r,noun
θεοσέπτωρ,"['θεός', 'σέβω']",,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=qeose/ptwr,noun
συργάστωρ,"['σύρω', 'γαστήρ']",,,noun
κτήτωρ,['κτάομαι'],"- possessor, owner",https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=kth/twr,noun
εὐνήτωρ,[],,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=eu)nh/twr,noun
Ἀγήτωρ,[],- Leader,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=*)agh/twr,noun
ῥυστήρ,['ἐρύω'],"- deliverer
- rein",https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=r(usth/r,noun
ἐπιτακτήρ,"['ἐπί', 'τάσσω']",,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=e)pitakth/r,noun
κουβίτωρ,[],,,
ἡβήτωρ,[],,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=h(bh/twr,noun
πνευματοκλήτωρ,"['πνεῦμα', 'καλέω']",,,
πειστήρ,['πείθω'],- one who obeys,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=peisth/r,noun
ἀγρευτήρ,['ἀγρεύω'],,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=a)greuth/r,noun
κλωστήρ,['κλώθω'],"- spindle
- thread, yarn",https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=klwsth/r,noun
διοτήρ,[],,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=dioth/r,
κλωποπάτωρ,"['κλώψ', 'πατήρ']",- son of a thief,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=klwpopa/twr,noun
περιχαρακτήρ,"['περί', 'χαράσσω']",- instrument for detaching,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=perixarakth/r,noun
μαμμοπάτωρ,"['μάμμα', 'πατήρ']",- maternal grandfather,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=mammopa/twr,noun
ἱεροφάντωρ,[],,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=i(erofa/ntwr,
ὁμοπάτωρ,"['ὁμός', 'πατήρ']",,,noun
