lemma;derivation;meaning;lsj_ulr;pos;Clean
πληκτήρ;[];;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=plhkth/r;noun;yes
κλονιστήρ;[];;;;no
διιθυντήρ;[];;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=diiqunth/r;noun;yes
μελέτωρ;['μέλω'];- one who cares for, an avenger;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=mele/twr;noun;yes
ὡροκράτωρ;['ὥρα', 'κρατέω'];- the lord of the hour;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=w(rokra/twr;noun;yes
κτίστωρ;['κτίζω'];;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=kti/stwr;noun;yes
σαωτήρ;[];;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=sawth/r;;no
ἀλητήρ;['ἀλήτης'];- dance;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=a)lhth/r;noun;no
ἐξαυστήρ;['ἐξ', 'αὔω'];- flesh-hook for taking meat out of a pot;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=e)causth/r;noun;yes
φοιβήτωρ;[];;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=foibh/twr;noun;no
πολυμήτωρ;['πολύς', 'μήτηρ'];- mother of many;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=polumh/twr;noun;no
παιδολετήρ;['παῖς', 'ὄλλυμι'];"- child-slaying; murderess of her children";https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=paidoleth/r;noun;yes
ἁρμελατήρ;['ἅρμα', 'ἐλαύνω'];- charioteer;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=a(rmelath/r;noun;yes
καταπειρατήρ;[];;;;no
ὀρύκτωρ;[];;;;no
ἐκσκέπτωρ;[];;;;yes
δικαστήρ;['δικάζω'];- Foed.Delph. Pell;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=dikasth/r;noun;yes
αὐλητήρ;['αὐλέω'];;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=au)lhth/r;noun;yes
κηνσίτωρ;['κῆνσος'];- censitor;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=khnsi/twr;;yes
βατήρ;['βαίνω'];"- that on which one treads, threshold; base";https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=bath/r;noun;yes
ὑπερίστωρ;['ὑπέρ', 'ἴστωρ'];- knowing but too well;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=u(peri/stwr;noun;yes
ῥεκτήρ;['ῥέζω'];- worker, doer;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=r(ekth/r;noun;yes
θρηνήτωρ;['θρηνέω'];;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=qrhnh/twr;noun;yes
εὐνητήρ;['εὐνάω'];"- a bedfellow, husband; bed; cease";https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=eu)nhth/r;noun;yes
ἀμυντήρ;['ἀμύνω'];- defender;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=a)munth/r;noun;yes
Πίκτωρ;[];;;noun;no
ἠλέκτωρ;[];"- the beaming sun; fire";https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=h)le/ktwr;noun;yes
φυσακτήρ;['φυσάω'];;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=fusakth/r;;yes
παρευναστήρ;['παρευνάζω'];"- one who sleeps beside; chamberlain";https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=pareunasth/r;noun;yes
ἀγωνοθετήρ;['ἀγών', 'τίθημι'];;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=a)gwnoqeth/r;noun;yes
ἁρμόστωρ;['ἁρμόζω'];- commander;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=a(rmo/stwr;noun;yes
κωπητήρ;['κώπη'];;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=kwphth/r;noun;no
νήκτωρ;[];;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=nh/ktwr;noun;yes
θηήτωρ;['θεάομαι'];;;;yes
ἀφρήτωρ;['φρήτρη'];"- without brotherhood; bound by no socialtie";https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=a)frh/twr;noun;no
οἰστρογενήτωρ;['οἶστρος', 'γενήτωρ'];;;;no
πρηστηροκράτωρ;['πρηστήρ', 'κρατέω'];;;;yes
φιλεστιάτωρ;['φίλος', 'ἑστιάτωρ'];- lover of feasting;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=filestia/twr;noun;yes
μυκήτωρ;[];;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=mukh/twr;noun;yes
ῥήτωρ;[];- public speaker;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=r(h/twr;noun;yes
σαώτηρ;[];;;;no
Ἀνάκτωρ;[];;;noun;no
διαδεκτήρ;['διά', 'δέχομαι'];- transmitter;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=diadekth/r;noun;yes
σφίγκτωρ;['σφίγγω'];;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=sfi/gktwr;noun;yes
ἑτερομήτωρ;['ἕτερος', 'μήτηρ'];;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=e(teromh/twr;noun;no
διοικήτωρ;[];;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=dioikh/twr;;yes
