suffix
-α / -a
-αγης / -aghs
-αδες / -ades
-αδης / -adhs
-αζω / -azw
-αι / -ai
-αια / -aia
-αινα / -aina
-αινω / -ainw
-αιον / -aion
-αιος / -aios
-ακις / -akis
-ακος / -akos
-ακοσιοι / -akosioi
-αλεος / -aleos
-αλιμος / -alimos
-αλιος / -alios
-αλις / -alis
-αμις / -amis
-αμος / -amos
-ανη / -anh
-ανον / -anon
-ανος / -anos
-αξ / -ac
-αρ / -ar
-αριον / -arion
-αρος / -aros
-αρχης / -arxhs
-αρχια / -arxia
-ας / -as
-ασια / -asia
-ατης / -aths
-ατος / -atos
-αω / -aw
-αων / -awn
-βατης / -baths
-βορος / -boros
-γενεια / -geneia
-γενης / -genhs
-γραφια / -grafia
-γραφος / -grafos
-δανος / -danos
-δαπος / -dapos
-δε / -de
-δην / -dhn
-διον / -dion
-διτη / -dith
-δμη / -dmh
-δον / -don
-δον / -don-
-δονος / -donos
-δων / -dwn-
-ε / -e
-εα / -ea
-εια / -eia
-ειδης / -eidhs
-ειν / -ein
-εινος / -einos
-ειον / -eion
-ειος / -eios
-εις / -eis
-ελος / -elos
-εος / -eos
-ερος / -eros
-εσμος / -esmos
-ευς / -eus
-ευτικος / -eutikos
-ευω / -euw
-εχθης / -exqhs
-εω / -ew
-εων / -ewn
-η / -h
-ηγος / -hgos
-ηδον / -hdon
-ηθης / -hqhs
-ηθρα / -hqra
-ημων / -hmwn
-ην / -hn
-ηνος / -hnos
-ηρος / -hros
-ης / -hs
-ησιος / -hsios
-ητιαω / -htiaw
-ηων / -hwn
-θα / -qa
-θε / -qe
-θεν / -qen
-θερμος / -qermos
-θηκη / -qhkh
-θι / -qi
-θμος / -qmos
-θρον / -qron
-θω / -qw
-ι / -i
-ια / -ia
-ιαδης / -iadhs
-ιαζω / -iazw
-ιανος / -ianos
-ιας / -ias
-ιδας / -idas
-ιδης / -idhs
-ιδιον / -idion
-ιδιος / -idios
-ιζω / -izw
-ικος / -ikos
-ιλη / -ilh
-ιλλος / -illos
-ιλος / -ilos
-ιμος / -imos
-ινα / -ina
-ινη / -inh
-ινος / -inos
-ιον / -ion
-ιος / -ios
-ις / -is
-ισκος / -iskos
-ισμος / -ismos
-ισσα / -issa
-ιστα / -ista
-ιστης / -isths
-ιστι / -isti
-ιστος / -istos
-ιτης / -iths
-ιτις / -itis
-ιτον / -iton
-ιω / -iw
-ιων / -iwn
-ιωτης / -iwths
-κας / -kas
-κλης / -klhs
-κολος / -kolos
-κος / -kos
-κρατια / -kratia
-κτονος / -ktonos
-λατρης / -latrhs
-λλω / -llw
-λογια / -logia
-λογος / -logos
-λος / -los
-μα / -ma
-μαχια / -maxia
-μελης / -melhs
-μενος / -menos
-μετρια / -metria
-μη / -mh
-μορφος / -morfos
-μος / -mos
-μων / -mwn
-να / -na-
-νη / -nh
-νος / -nos
-νυμι / -numi
-νω / -nw
-ο / -o-
-ομαι / -omai
-ον / -on
-ος / -os
-ου / -ou
-ουργος / -ourgos
-ουρια / -ouria
-ους / -ous
-οψ / -oy
-οψια / -oyia
-οω / -ow
-πατωρ / -patwr
-πετης / -peths
-πλαξ / -plac
-πλασιος / -plasios
-πλασιων / -plasiwn
-πλοος / -ploos
-ποιος / -poios
-πτω / -ptw
-πωλης / -pwlhs
-ρος / -ros
-ς / -s
-σε / -se
-σειω / -seiw
-σια / -sia
-σις / -sis
-σκω / -skw
-σμος / -smos
-σσω / -ssw
-στης / -sths
-στος / -stos
-συνη / -sunh
-τας / -tas
-τειρα / -teira
-τελης / -telhs
-τεον / -teon
-τεος / -teos
-τερος / -teros
-τη / -th
-τηρ / - thr
-τηρ / -thr
-τηριας / -thrias
-τηριον / -thrion
-τηριος / -thrios
-της / -ths
-τιδες / -tides
-τικος / -tikos
-τιος / -tios
-τις / -tis
-τοκος / -tokos
-τος / -tos
-τρα / -tra
-τρια / -tria
-τρις / -tris
-τρον / -tron
-τρος / -tros
-ττω / -ttw
-τυς / -tus
-τωρ / - twr
-τωρ / -twr
-υλλιον / -ullion
-υνω / -unw
-υρος / -uros
-υων / -uwn
-φαγος / -fagos
-φανης / -fanhs
-φι / -fi
-φιλος / -filos
-φοβια / -fobia
-φονος / -fonos
-φοντης / -fonths
-φορος / -foros
-φρων / -frwn
-φυης / -fuhs
-φωνια / -fwnia
-φωνος / -fwnos
-χι / -xi
-χολια / -xolia
-ω / -w
-ωδης / -wdhs
-ωμα / -wma
-ων / -wn
-ωνη / -wnh
-ωπος / -wpos
-ως / -ws
-ωσις / -wsis
-ωτης / -wths
