,compounds
0,ὄρπηξ / orphc
1,πολυφράδμων / polufradmwn
2,κότταβος / kottabos
3,τόξον / tocon
4,παντοφάγος / pantofagos
5,διαμερίζω / diamerizw
6,ἀνδρίζω / andrizw
7,ἀνήνυτος / anhnutos
8,ἑστιοῦχος / estiouxos
9,ἔφεδρος / efedros
10,Ὕβλα / Ubla
11,μεταίσσω / metaissw
12,μαντιπόλος / mantipolos
13,ἔρευθος / ereuqos
14,Ἀσσός / Assos
15,παρακινδυνεύω / parakinduneuw
16,τραγικεύομαι / tragikeuomai
17,πανός / panos
18,προεμβαίνω / proembainw
19,τραυλίζω / traulizw
20,καταναυμαχέω / katanaumaxew
21,ἀπόκρημνος / apokrhmnos
22,ἐνέχυρον / enexuron
23,κηλοτόμος / khlotomos
24,Ψύρα / Yura
25,φυσικεύομαι / fusikeuomai
26,ἄχρι / axri
27,κρησέρα / krhsera
28,σύνοξυς / sunocus
29,παρασημαίνομαι / parashmainomai
30,ὀρνεοπώλης / orneopwlhs
31,ἰδιάζω / idiazw
32,ὑπεραπαιτέω / uperapaitew
33,ἀγοράομαι / agoraomai
34,προπαρασκευάζω / proparaskeuazw
35,ἀμαυρόω / amaurow
36,ὕσγινον / usginon
37,ὁπόστος / opostos
38,δεκανός / dekanos
39,ἀποτερματίζω / apotermatizw
40,ἐξορκόω / ecorkow
41,λάβδα / labda
42,τείρων / teirwn
43,διανήθω / dianhqw
44,προγεωργός / progewrgos
45,ἀγαλματοποιός / agalmatopoios
46,Ὑρκανία / Urkania
47,Στύμφαλος / Stumfalos
48,σθένω / sqenw
49,σίναπι / sinapi
50,Πύθια / Puqia
51,κατάχυσμα / kataxusma
52,εὔγηρος / eughros
53,ἐπιψεύδομαι / epiyeudomai
54,ὀφλισκάνω / ofliskanw
55,ἑξηκοστός / echkostos
56,χρήσις / xrhsis
57,κυνοδρομέω / kunodromew
58,πολύκνημος / poluknhmos
59,ἐπανείρομαι / epaneiromai
60,μάρμαρος / marmaros
61,ῥήμων / rhmwn
62,συκοφόρος / sukoforos
