base
Αβραάμ / Abraam
Αἰάνης / Aianhs
Αἰακός / Aiakos
Αἰγαί / Aigai
Αἰγαῖος / Aigaios
Αἰγιλιά / Aigilia
Αἰγύπτιος / Aiguptios
Αἰθίοψ / Aiqioy
Αἰθιοπία / Aiqiopia
Αἰνέας / Aineas
Αἰνεύς / Aineus
Αἰξωνή / Aicwnh
Αἰσχύλος / Aisxulos
Αἰσύμη / Aisumh
Αἰτωλία / Aitwlia
Αἰτωλικός / Aitwlikos
Αἰτώλος / Aitwlos
Αἰόλιος / Aiolios
Αἱμονία / Aimonia
Αἴας / Aias
Αἴγινα / Aigina
Αἴγιον / Aigion
Αἴγυπτος / Aiguptos
Αἴθαια / Aiqaia
Αἴολος / Aiolos
Αἴσων / Aiswn
Αἴσωπος / Aiswpos
Αἴτνη / Aitnh
Αἵμων / Aimwn
Αἶνος / Ainos
Αὐγέας / Augeas
Αὐλών / Aulwn
Αὐσονία / Ausonia
Βάθυλλος / Baqullos
Βάκτρα / Baktra
Βάκχειος / Bakxeios
Βάκχος / Bakxos
Βέβρυξ / Bebruc
Βέλβινα / Belbina
Βέλγαι / Belgai
Βέμβινα / Bembina
Βέργη / Bergh
Βέροια / Beroia
Βίας / Bias
Βίβλος / Biblos
Βίστονες / Bistones
Βαβυλωνία / Babulwnia
Βαβυλών / Babulwn
Βακίς / Bakis
Βαλιαρεῖς / Baliareis
Βαργύλια / Bargulia
Βαστάρνης / Bastarnhs
Βατή / Bath
Βενδῖς / Bendis
Βενεβεντός / Benebentos
Βενετία / Benetia
Βερέκυς / Berekus
Βερενίκη / Berenikh
Βηρυτός / Bhrutos
Βιθυνία / Biqunia
Βισαλτία / Bisaltia
Βιστονία / Bistonia
Βλεψίας / Bleyias
Βοίβη / Boibh
Βοιωτία / Boiwtia
Βοιωτός / Boiwtos
Βοιώτιος / Boiwtios
Βολβιτίνη / Bolbitinh
Βορέας / Boreas
Βορρᾶς / Borras
Βορυσθένης / Borusqenhs
Βορυσθενίτης / Borusqeniths
Βοττία / Bottia
Βοττιαῖος / Bottiaios
Βουλίς / Boulis
Βούβαστις / Boubastis
Βούπαλος / Boupalos
Βούσελος / Bouselos
Βούσιρις / Bousiris
Βούτης / Bouths
Βούχετα / Bouxeta
Βοῦρα / Boura
Βράγχιος / Bragxios
Βρασίδας / Brasidas
Βραύρων / Braurwn
Βρεντέσιον / Brentesion
Βρεττία / Brettia
Βρεττανία / Brettania
Βροῦτος / Broutos
Βρόμιος / Bromios
Βρύσων / Bruswn
Βυζάντιον / Buzantion
Βόσπορος / Bosporos
Βύβασσος / Bubassos
Βύβλος / Bublos
Βῆσα / Bhsa
Βῆσσα / Bhssa
Γάβαι / Gabai
Γάβαλα / Gabala
Γάβιοι / Gabioi
Γάγας / Gagas
Γάγγης / Gagghs
Γάδαρα / Gadara
Γάδειρα / Gadeira
Γάζα / Gaza
Γάλλος / Gallos
Γάμβριον / Gambrion
Γέλα / Gela
Γένης / Genhs
Γέρασα / Gerasa
Γέργις / Gergis
Γέρηνος / Gerhnos
Γέρης / Gerhs
Γέται / Getai
Γέφυρα / Gefura
Γίγας / Gigas
Γαιτουλία / Gaitoulia
Γαλάται / Galatai
Γαλατία / Galatia
Γαλιλαία / Galilaia
Γαλλία / Gallia
Γαργηττός / Garghttos
Γαῖα / Gaia
Γεδρωσία / Gedrwsia
Γελέων / Gelewn
Γερήνιος / Gerhnios
Γεραιστός / Geraistos
Γερμανία / Germania
Γηρυών / Ghruwn
Γλύκων / Glukwn
Γνάθων / Gnaqwn
Γοργίας / Gorgias
Γοργοφόνος / Gorgofonos
Γοργώ / Gorgw
Γορδίου τεῖχος / Gordiou teixos
Γορδυηνή / Gorduhnh
Γράχκος / Graxkos
Γραικός / Graikos
Γρηγόριος / Grhgorios
Γυμνήσιαι / Gumnhsiai
Γυραί / Gurai
Γυρτών / Gurtwn
Γωργώ / Gwrgw
Γόρδιος / Gordios
Γόρτυν / Gortun
Γότθοι / Gotqoi
Γύγης / Gughs
Γύθειον / Guqeion
Δάειρα / Daeira
Δάν / Dan
Δάρδανος / Dardanos
Δάσκυλος / Daskulos
Δέξιος / Decios
Δέρβη / Derbh
Δίδνασος / Didnasos
Δίδυμα / Diduma
Δίκτη / Dikth
Δίνδυμον / Dindumon
Δίπαια / Dipaia
Δίρκη / Dirkh
Δίων / Diwn
Δαμάστωρ / Damastwr
Δαμασκός / Damaskos
Δαναός / Danaos
Δαρεῖος / Dareios
Δασκύλειον / Daskuleion
Δασσαρῆται / Dassarhtai
Δαυίδ / Dauid
Δαυλίς / Daulis
Δαυνία / Daunia
Δεινίας / Deinias
Δεινομένης / Deinomenhs
Δεκέλεια / Dekeleia
Δελφοί / Delfoi
Δευκαλίων / Deukaliwn
Δηιονεύς / Dhioneus
Δηλιάς / Dhlias
Δημάδης / Dhmadhs
Δημήτηρ / Dhmhthr
Δημήτριος / Dhmhtrios
Δημητριάς / Dhmhtrias
Δημοσθένης / Dhmosqenhs
Δημοφόων / Dhmofown
Δημόκριτος / Dhmokritos
Δημώ / Dhmw
Δηώ / Dhw
Διαγόρας / Diagoras
Δικαίαρχος / Dikaiarxos
Δικαιάρχεια / Dikaiarxeia
Διογένης / Diogenhs
Διομήδης / Diomhdhs
Διονυσιάζω / Dionusiazw
Διονύσια / Dionusia
Διπόλεια / Dipoleia
Διόδωρος / Diodwros
Διόμεια / Diomeia
Διόνυσος / Dionusos
Διός / Dios
Διόσκοροι / Dioskoroi
Διώνη / Diwnh
Δοίας / Doias
Δοκιμία / Dokimia
Δολίονες / Doliones
Δολοπίων / Dolopiwn
Δουλίχιον / Doulixion
Δράκων / Drakwn
Δρύας / Druas
Δυρράχιον / Durraxion
Δωδώνη / Dwdwnh
Δωνάτος / Dwnatos
Δωρίς / Dwris
Δωριεύς / Dwrieus
Δόβηρος / Dobhros
Δόλοπες / Dolopes
Δύμας / Dumas
Δύμη / Dumh
Δώριος / Dwrios
Δώτιον / Dwtion
Δᾳδαφόριος / Dadaforios
Δῆλος / Dhlos
Δῆμος / Dhmos
Εἰρήνη / Eirhnh
Εὐήνωρ / Euhnwr
Εὐήρης / Euhrhs
Εὐαίμων / Euaimwn
Εὐεσπερίδες / Euesperides
Εὐηνός / Euhnos
Εὐμένης / Eumenhs
Εὐνομιανός / Eunomianos
Εὐριπίδης / Euripidhs
Εὐρυδίκη / Eurudikh
Εὐρυμέδων / Eurumedwn
Εὐρωπία / Eurwpia
Εὐρωπός / Eurwpos
Εὐρύαμπος / Euruampos
Εὐρύβατος / Eurubatos
Εὐρώπεια / Eurwpeia
Εὐρώπη / Eurwph
Εὐσέβεια / Eusebeia
Εὐσεβής / Eusebhs
Εὐτυχιανός / Eutuxianos
Εὐφήτης / Eufhths
Εὐφράτης / Eufraths
Εὐωνύμεια / Euwnumeia
Εὔβοια / Euboia
Εὔδημος / Eudhmos
Εὔθυμος / Euqumos
Εὔιος / Euios
Εὔκλεια / Eukleia
Εὔξενος / Eucenos
Εὔπολις / Eupolis
Εὔριπος / Euripos
Εὔρυμος / Eurumos
Εὔρυτος / Eurutos
Εὔφημος / Eufhmos
Εὖρος / Euros
Ζέφυρος / Zefuros
Ζήνων / Zhnwn
Ζήρινθος / Zhrinqos
Ζεφύριος / Zefurios
Ζεύς / Zeus
Ζηνόδοτος / Zhnodotos
Ζώνη / Zwnh
Ζώπυρος / Zwpuros
Θάμυρις / Qamuris
Θάσος / Qasos
Θάψακος / Qayakos
Θάψος / Qayos
Θέανδρος / Qeandros
Θέρμη / Qermh
Θέστιος / Qestios
Θέστωρ / Qestwr
Θέτις / Qetis
Θήβη / Qhbh
Θήρα / Qhra
Θαΐς / Qais
Θαλύσιος / Qalusios
Θαργήλια / Qarghlia
Θεία / Qeia
Θεαγένης / Qeagenhs
Θεμίσκυρα / Qemiskura
Θεμιστοκλῆς / Qemistoklhs
Θεοδέκτης / Qeodekths
Θεοδώρα / Qeodwra
Θεοφρόνιος / Qeofronios
Θεράπνη / Qerapnh
Θερσίτης / Qersiths
Θεσπιαί / Qespiai
Θεσπρωτία / Qesprwtia
Θεσσαλία / Qessalia
Θεσσαλός / Qessalos
Θετταλίζω / Qettalizw
Θεόδοτος / Qeodotos
Θεόδωρος / Qeodwros
Θεόπομπος / Qeopompos
Θεόφραστος / Qeofrastos
Θηβαῖος / Qhbaios
Θηρικλῆς / Qhriklhs
Θησεύς / Qhseus
Θησεῖον / Qhseion
Θοάς / Qoas
Θορικός / Qorikos
Θουκυδίδης / Qoukudidhs
Θούριοι / Qourioi
Θούριον / Qourion
Θρασυμάχειος / Qrasumaxeios
Θρασύμαχος / Qrasumaxos
Θρινακίη / Qrinakih
Θρόνιον / Qronion
Θρᾴκη / Qrakh
Θρᾴξ / Qrac
Θρᾷξ / Qrac
Θρῖα / Qria
Θυάτειρα / Quateira
Θυέστης / Quesths
Θυμαιτάδαι / Qumaitadai
Θυρεά / Qurea
Θόραι / Qorai
Θύβρις / Qubris
Θύμβρα / Qumbra
Θύμβρις / Qumbris
Θύνιον / Qunion
Θύριον / Qurion
Θῆβαι / Qhbai
Κάβειροι / Kabeiroi
Κάδμος / Kadmos
Κάλλειον / Kalleion
Κάλυνδα / Kalunda
Κάλχας / Kalxas
Κάμειρος / Kameiros
Κάναστρον / Kanastron
Κάνταβροι / Kantabroi
Κάνωβος / Kanwbos
Κάρ / Kar
Κάρμινα / Karmina
Κάρνεια / Karneia
Κάρνη / Karnh
Κάρυστος / Karustos
Κάσιον / Kasion
Κάστνιον / Kastnion
Κάστωρ / Kastwr
Κάτων / Katwn
Κάψα / Kaya
Κάϊν / Kain
Κάϋστρος / Kaustros
Κέας / Keas
Κέκροψ / Kekroy
Κένταυρος / Kentauros
Κέος / Keos
Κέρβερος / Kerberos
Κέρδων / Kerdwn
Κέρκαφος / Kerkafos
Κέρκινα / Kerkina
Κέρκυρα / Kerkura
Κήρινθος / Khrinqos
Κίκυννα / Kikunna
Κίλιξ / Kilic
Κίμβρος / Kimbros
Κίμωλος / Kimwlos
Κίμων / Kimwn
Κίρκη / Kirkh
Κίρρα / Kirra
Κίτιον / Kition
Καβησσός / Kabhssos
Καινεύς / Kaineus
Καισάρεια / Kaisareia
Καλήτωρ / Kalhtwr
Καλαύρεια / Kalaureia
Καλλίμαχος / Kallimaxos
Καλλίπολις / Kallipolis
Καλυδών / Kaludwn
Καλύδναι / Kaludnai
Καμάρινα / Kamarina
Καμπανία / Kampania
Κανά / Kana
Κανδαύλης / Kandaulhs
Καπίννα / Kapinna
Καπανεύς / Kapaneus
Καπετώλιον / Kapetwlion
Καππαδοκία / Kappadokia
Καππαδόκης / Kappadokhs
Καπύη / Kapuh
Καρία / Karia
Καρδία / Kardia
Καρδοῦχοι / Kardouxoi
Καρικός / Karikos
Καρκίνος / Karkinos
Καρμέντα / Karmenta
Καρμανία / Karmania
Καρποκράτης / Karpokraths
Καρυᾶτις / Karuatis
Καρχηδών / Karxhdwn
Καρύανδα / Karuanda
Κασθαναία / Kasqanaia
Κατάνη / Katanh
Κατακεκαυμέμη / Katakekaumemh
Καταονία / Kataonia
Καυλωνία / Kaulwnia
Καφηρεύς / Kafhreus
Καύκασις / Kaukasis
Καῖσαρ / Kaisar
Καῦνος / Kaunos
Κεβρήν / Kebrhn
Κειριάδαι / Keiriadai
Κεκροπία / Kekropia
Κελτός / Keltos
Κεντόριπα / Kentoripa
Κερασοῦς / Kerasous
Κεραύνια / Keraunia
Κερκέτης / Kerkeths
Κερύνεια / Keruneia
Κεφαλληνία / Kefallhnia
Κηφισία / Khfisia
Κηφισός / Khfisos
Κιθαιρών / Kiqairwn
Κιλίκιος / Kilikios
Κιλικία / Kilikia
Κιλικίζω / Kilikizw
Κιμμέριος / Kimmerios
Κισσεύς / Kisseus
Κισσῆς / Kisshs
Κλάρος / Klaros
Κλέαρχος / Klearxos
Κλέων / Klewn
Κλήμης / Klhmhs
Κλαζομεναί / Klazomenai
