,suffixes
0,ωνται / wntai
1,ησθα / hsqa
2,σθαι / sqai
3,εσθε / esqe
4,οω / ow
5,αμενη / amenh
6,ετω / etw
7,ουμενος / oumenos
8,ῃ / h
9,ρτο / rto
10,οντων / ontwn
11,φθω / fqw
12,η / h
13,πος / pos
14,ητην / hthn
15,οωσιν / owsin
16,χθην / xqhn
17,ξ / c
18,αμενως / amenws
19,αιεν / aien
20,οντες / ontes
21,ουνται / ountai
22,ωομενος / womenos
23,α / a
24,ευμεθα / eumeqa
25,ις / is
26,ιοντες / iontes
27,ευ / eu
28,ασας / asas
29,ιδος / idos
30,οτερος / oteros
31,εν / en
32,ετε / ete
33,ιτος / itos
34,εο / eo
35,ξαι / cai
36,ειο / eio
37,μενον / menon
38,αασθε / aasqe
39,ι / i
40,ευσα / eusa
41,γμενον / gmenon
42,μμενα / mmena
43,ασθην / asqhn
44,εου / eou
45,ει / ei
46,οιμι / oimi
47,αιη / aih
48,αμενω / amenw
49,ητο / hto
50,αι / ai
51,ς / s
52,μμενω / mmenw
53,αα / aa
54,γα / ga
55,ουμενως / oumenws
56,μενοι / menoi
57,αμες / ames
58,κτο / kto
59,θι / qi
60,γξ / gc
61,ευσας / eusas
62,ηθι / hqi
63,οιο / oio
64,οισι / oisi
65,ωοντο / wonto
66,υμεναι / umenai
67,ουσα / ousa
68,ντο / nto
69,ησιν / hsin
70,μην / mhn
71,ωτατα / wtata
72,ωρ / wr
73,εων / ewn
74,εονται / eontai
75,ιω / iw
76,ειτων / eitwn
77,ειται / eitai
78,ιδες / ides
79,οισαι / oisai
80,ωμεθον / wmeqon
81,ην / hn
82,ονως / onws
83,ησομαι / hsomai
84,εσκομην / eskomhn
85,εαι / eai
86,εσσι / essi
87,αω / aw
88,ωοιμι / woimi
89,ωμαι / wmai
90,ται / tai
91,χθαι / xqai
92,εουσι / eousi
93,αν / an
94,ωθι / wqi
95,εη / eh
96,οεις / oeis
97,οη / oh
98,ρι / ri
99,ατα / ata
100,οος / oos
101,αιμεν / aimen
102,λμαι / lmai
103,ονεσσι / onessi
104,ευμαι / eumai
105,οωσα / owsa
106,ησεται / hsetai
107,ιδας / idas
108,ρμενως / rmenws
109,ειν / ein
110,φατο / fato
111,σι / si
112,αντο / anto
113,υ / u
114,τον / ton
115,αασκε / aaske
116,υιαι / uiai
117,ομενοι / omenoi
118,στο / sto
119,αται / atai
120,ασκετο / asketo
121,ορες / ores
122,ευντες / euntes
123,οων / own
124,ομενον / omenon
125,ῳ / w
126,οτερω / oterw
127,ιως / iws
128,νι / ni
129,οτατω / otatw
130,ρων / rwn
131,εστερος / esteros
132,πεσσι / pessi
133,ευντο / eunto
134,οιτο / oito
135,αιο / aio
136,αε / ae
137,ομες / omes
138,ωμι / wmi
139,γος / gos
140,ευντα / eunta
141,δατο / dato
142,εωμεν / ewmen
143,εον / eon
144,ῃς / hs
145,ετον / eton
146,αινα / aina
147,ωμεναι / wmenai
148,κλειης / kleihs
149,ου / ou
150,ηομεν / homen
151,οιην / oihn
152,μενη / menh
153,αομαι / aomai
154,ουται / outai
155,Any
156,θα / qa
157,οτερον / oteron
158,υς / us
